--------- beginning of main
04-07 13:20:42.999  4970  4977 W com.ntsiniz.app: Cleared Reference was only reachable from finalizer (only reported once)
04-07 13:20:49.763  4970  4970 W WindowOnBackDispatcher: sendCancelIfRunning: isInProgress=false callback=android.view.ViewRootImpl$$ExternalSyntheticLambda13@1485dec
04-07 13:20:49.829  4970  4995 D HWUI    : endAllActiveAnimators on 0xb400007465df2080 (RippleDrawable) with handle 0xb400007395d8eae0
04-07 13:20:50.164  4970  4970 D InsetsController: hide(ime(), fromIme=false)
04-07 13:20:50.164  4970  4970 I ImeTracker: com.ntsiniz.app:e1b45896: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
04-07 13:20:56.543  4970  5022 I HWUI    : Davey! duration=724ms; Flags=0, FrameTimelineVsyncId=16932, IntendedVsync=259568207071, Vsync=259568207071, InputEventId=0, HandleInputStart=259581742040, AnimationStart=259581742707, PerformTraversalsStart=259583344998, DrawStart=259583443873, FrameDeadline=259684873733, FrameStartTime=259581740415, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=259583455540, SyncStart=259660463165, IssueDrawCommandsStart=259660561832, SwapBuffers=259991768707, FrameCompleted=260369872499, DequeueBufferDuration=5791, QueueBufferDuration=599584, GpuCompleted=260369872499, SwapBuffersCompleted=259993100123, DisplayPresentTime=0, CommandSubmissionCompleted=259991768707, 
04-07 13:20:56.593  4970  4970 I Choreographer: Skipped 69 frames!  The application may be doing too much work on its main thread.
04-07 13:20:57.419  4970  4982 I HWUI    : Davey! duration=908ms; Flags=0, FrameTimelineVsyncId=16948, IntendedVsync=259668207067, Vsync=259984873721, InputEventId=0, HandleInputStart=259994123623, AnimationStart=259994124540, PerformTraversalsStart=260001278248, DrawStart=260001498957, FrameDeadline=260418207037, FrameStartTime=259993984165, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=260001526790, SyncStart=261101741874, IssueDrawCommandsStart=261102032457, SwapBuffers=261343328499, FrameCompleted=261677125291, DequeueBufferDuration=83223875, QueueBufferDuration=397959, GpuCompleted=261677125291, SwapBuffersCompleted=261500552041, DisplayPresentTime=0, CommandSubmissionCompleted=261343328499, 
04-07 13:20:58.334  4970  4982 I HWUI    : Davey! duration=2002ms; Flags=0, FrameTimelineVsyncId=16963, IntendedVsync=260001540387, Vsync=261151540341, InputEventId=0, HandleInputStart=261198438416, AnimationStart=261198440374, PerformTraversalsStart=261243774166, DrawStart=261254062832, FrameDeadline=261701540319, FrameStartTime=261151881666, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=261254121499, SyncStart=261500651582, IssueDrawCommandsStart=261500754166, SwapBuffers=261977456749, FrameCompleted=262251003125, DequeueBufferDuration=6875, QueueBufferDuration=28335333, GpuCompleted=262251003125, SwapBuffersCompleted=262007894249, DisplayPresentTime=0, CommandSubmissionCompleted=261977456749, 
04-07 13:20:58.336  4970  4970 I Choreographer: Skipped 48 frames!  The application may be doing too much work on its main thread.
04-07 13:20:58.586  4970  4982 I HWUI    : Davey! duration=1254ms; Flags=0, FrameTimelineVsyncId=16978, IntendedVsync=261201540339, Vsync=261518206993, InputEventId=0, HandleInputStart=261536180291, AnimationStart=261536181624, PerformTraversalsStart=261552147541, DrawStart=261571027374, FrameDeadline=262268206963, FrameStartTime=261534407374, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=261571062416, SyncStart=262008277999, IssueDrawCommandsStart=262008395124, SwapBuffers=262251145250, FrameCompleted=262892764500, DequeueBufferDuration=528005375, QueueBufferDuration=46731042, GpuCompleted=262891902291, SwapBuffersCompleted=262892764500, DisplayPresentTime=0, CommandSubmissionCompleted=262251145250, 
04-07 13:20:59.079  4970  4982 I HWUI    : Davey! duration=1051ms; Flags=0, FrameTimelineVsyncId=16993, IntendedVsync=261551540325, Vsync=262018206973, InputEventId=0, HandleInputStart=262043640208, AnimationStart=262043642249, PerformTraversalsStart=262095274916, DrawStart=262095510458, FrameDeadline=262918206937, FrameStartTime=262034543124, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=262095539499, SyncStart=262892988916, IssueDrawCommandsStart=262893132125, SwapBuffers=263144570042, FrameCompleted=263400922667, DequeueBufferDuration=4167, QueueBufferDuration=437125, GpuCompleted=263400922667, SwapBuffersCompleted=263165970375, DisplayPresentTime=0, CommandSubmissionCompleted=263144570042, 
04-07 13:20:59.727  4970  4982 I HWUI    : Davey! duration=1631ms; Flags=0, FrameTimelineVsyncId=17008, IntendedVsync=262084873637, Vsync=262884873605, InputEventId=0, HandleInputStart=262898456375, AnimationStart=262898458291, PerformTraversalsStart=262915320125, DrawStart=262915623708, FrameDeadline=263418206917, FrameStartTime=262894005916, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=262915652417, SyncStart=263166088708, IssueDrawCommandsStart=263166202375, SwapBuffers=263635008334, FrameCompleted=263966534167, DequeueBufferDuration=5581542, QueueBufferDuration=624417, GpuCompleted=263966534167, SwapBuffersCompleted=263642590292, DisplayPresentTime=0, CommandSubmissionCompleted=263635008334, 
04-07 13:20:59.743  4970  4970 I Choreographer: Skipped 39 frames!  The application may be doing too much work on its main thread.
04-07 13:21:00.378  4970  4982 I HWUI    : Davey! duration=1294ms; Flags=0, FrameTimelineVsyncId=17024, IntendedVsync=262918206937, Vsync=263168206927, InputEventId=0, HandleInputStart=263176942000, AnimationStart=263176943250, PerformTraversalsStart=263256278750, DrawStart=263256513458, FrameDeadline=263984873561, FrameStartTime=263175469500, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=263256543417, SyncStart=263642718334, IssueDrawCommandsStart=263642959459, SwapBuffers=264283787709, FrameCompleted=264598672751, DequeueBufferDuration=14155709, QueueBufferDuration=513667, GpuCompleted=264598672751, SwapBuffersCompleted=264299808334, DisplayPresentTime=0, CommandSubmissionCompleted=264283787709, 
04-07 13:21:00.432  4970  4970 I Choreographer: Skipped 39 frames!  The application may be doing too much work on its main thread.
04-07 13:21:01.008  4970  5022 I HWUI    : Davey! duration=1484ms; Flags=0, FrameTimelineVsyncId=17039, IntendedVsync=263184873593, Vsync=263634873575, InputEventId=0, HandleInputStart=263646918834, AnimationStart=263646920917, PerformTraversalsStart=263719064292, DrawStart=263719327250, FrameDeadline=264618206869, FrameStartTime=263643644250, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=263719415959, SyncStart=264299928209, IssueDrawCommandsStart=264300324001, SwapBuffers=264935221667, FrameCompleted=265250109584, DequeueBufferDuration=4084, QueueBufferDuration=351541, GpuCompleted=265250109584, SwapBuffersCompleted=264953924167, DisplayPresentTime=0, CommandSubmissionCompleted=264935221667, 
04-07 13:21:01.150  4970  4970 I Choreographer: Skipped 42 frames!  The application may be doing too much work on its main thread.
04-07 13:21:01.594  4970  5022 I HWUI    : Davey! duration=1568ms; Flags=0, FrameTimelineVsyncId=17055, IntendedVsync=263651540241, Vsync=264301540215, InputEventId=0, HandleInputStart=264302309542, AnimationStart=264302310667, PerformTraversalsStart=264335474834, DrawStart=264335692126, FrameDeadline=265268206843, FrameStartTime=264301967876, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=264335720876, SyncStart=264983255584, IssueDrawCommandsStart=264983373834, SwapBuffers=265565195293, FrameCompleted=265867665960, DequeueBufferDuration=444417, QueueBufferDuration=235166, GpuCompleted=265867665960, SwapBuffersCompleted=265566702376, DisplayPresentTime=0, CommandSubmissionCompleted=265565195293, 
04-07 13:21:02.295  4970  5022 I HWUI    : Davey! duration=1713ms; Flags=0, FrameTimelineVsyncId=17070, IntendedVsync=264334873547, Vsync=264984873521, InputEventId=0, HandleInputStart=264991166792, AnimationStart=264991167959, PerformTraversalsStart=265103054876, DrawStart=265103399709, FrameDeadline=265884873485, FrameStartTime=264990848292, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=265103429334, SyncStart=265566839001, IssueDrawCommandsStart=265611219084, SwapBuffers=266152331376, FrameCompleted=266512178168, DequeueBufferDuration=3667, QueueBufferDuration=219792, GpuCompleted=266512178168, SwapBuffersCompleted=266153366126, DisplayPresentTime=0, CommandSubmissionCompleted=266152331376, 
04-07 13:21:02.317  4970  4970 I Choreographer: Skipped 38 frames!  The application may be doing too much work on its main thread.
04-07 13:21:03.432  4970  4970 I Choreographer: Skipped 59 frames!  The application may be doing too much work on its main thread.
04-07 13:21:03.433  4970  5022 I HWUI    : Davey! duration=2029ms; Flags=0, FrameTimelineVsyncId=17093, IntendedVsync=265001540187, Vsync=265701540159, InputEventId=0, HandleInputStart=265709034460, AnimationStart=265709036126, PerformTraversalsStart=265749604335, DrawStart=265749925293, FrameDeadline=266534873459, FrameStartTime=265708422751, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=265749952376, SyncStart=266153477793, IssueDrawCommandsStart=266153602376, SwapBuffers=266848681668, FrameCompleted=267434700377, DequeueBufferDuration=502125, QueueBufferDuration=143667, GpuCompleted=267434700377, SwapBuffersCompleted=266853911085, DisplayPresentTime=0, CommandSubmissionCompleted=266848681668, 
04-07 13:21:03.704  4970  5022 I HWUI    : Davey! duration=1651ms; Flags=0, FrameTimelineVsyncId=17109, IntendedVsync=265751540157, Vsync=266151540141, InputEventId=0, HandleInputStart=266229014335, AnimationStart=266229016835, PerformTraversalsStart=266282282001, DrawStart=266282529418, FrameDeadline=267451540089, FrameStartTime=266157374710, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=266282555210, SyncStart=266866704877, IssueDrawCommandsStart=266866916502, SwapBuffers=267434759294, FrameCompleted=267987660544, DequeueBufferDuration=453886000, QueueBufferDuration=247875, GpuCompleted=267986981336, SwapBuffersCompleted=267987660544, DisplayPresentTime=0, CommandSubmissionCompleted=267434759294, 
04-07 13:21:04.813  4970  5022 I HWUI    : Davey! duration=1512ms; Flags=0, FrameTimelineVsyncId=17124, IntendedVsync=266234873471, Vsync=266868206779, InputEventId=0, HandleInputStart=266875843418, AnimationStart=266875844210, PerformTraversalsStart=266941247502, DrawStart=266942038668, FrameDeadline=268018206733, FrameStartTime=266875575043, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=266942065502, SyncStart=267987965169, IssueDrawCommandsStart=267988254461, SwapBuffers=268261667836, FrameCompleted=268793167003, DequeueBufferDuration=4041, QueueBufferDuration=218958, GpuCompleted=268793167003, SwapBuffersCompleted=268271061086, DisplayPresentTime=0, CommandSubmissionCompleted=268261667836, 
04-07 13:21:04.923  4970  4970 I Choreographer: Skipped 62 frames!  The application may be doing too much work on its main thread.
04-07 13:21:05.199  4970  5022 I HWUI    : Davey! duration=2223ms; Flags=0, FrameTimelineVsyncId=17140, IntendedVsync=267001540107, Vsync=267984873401, InputEventId=0, HandleInputStart=267990341044, AnimationStart=267990342086, PerformTraversalsStart=268124683586, DrawStart=268125508336, FrameDeadline=268818206701, FrameStartTime=267990098419, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=268125536044, SyncStart=268271289169, IssueDrawCommandsStart=268271397961, SwapBuffers=268789297753, FrameCompleted=269370927795, DequeueBufferDuration=578317000, QueueBufferDuration=183625, GpuCompleted=269370279045, SwapBuffersCompleted=269370927795, DisplayPresentTime=0, CommandSubmissionCompleted=268789297753, 
04-07 13:21:05.725  4970  5022 I HWUI    : Davey! duration=1088ms; Flags=0, FrameTimelineVsyncId=17163, IntendedVsync=268001540067, Vsync=268284873389, InputEventId=0, HandleInputStart=268433290252, AnimationStart=268433292502, PerformTraversalsStart=268442175419, DrawStart=268442615252, FrameDeadline=269401540011, FrameStartTime=268290533127, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=268442892127, SyncStart=269371082378, IssueDrawCommandsStart=269371210086, SwapBuffers=269757487336, FrameCompleted=270018444087, DequeueBufferDuration=4625, QueueBufferDuration=734209, GpuCompleted=270018444087, SwapBuffersCompleted=269759128003, DisplayPresentTime=0, CommandSubmissionCompleted=269757487336, 
04-07 13:21:05.787  4970  4970 I Choreographer: Skipped 32 frames!  The application may be doing too much work on its main thread.
04-07 13:21:06.508  4970  4984 I HWUI    : Davey! duration=2089ms; Flags=0, FrameTimelineVsyncId=17178, IntendedVsync=268434873383, Vsync=269468206675, InputEventId=0, HandleInputStart=269596938878, AnimationStart=269596941420, PerformTraversalsStart=269603803086, DrawStart=269604257586, FrameDeadline=270051539985, FrameStartTime=269480743711, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=269604286086, SyncStart=269759229003, IssueDrawCommandsStart=269759354795, SwapBuffers=270282315795, FrameCompleted=270679356254, DequeueBufferDuration=6542, QueueBufferDuration=53993375, GpuCompleted=270679356254, SwapBuffersCompleted=270339167003, DisplayPresentTime=0, CommandSubmissionCompleted=270282315795, 
04-07 13:21:06.526  4970  4970 I Choreographer: Skipped 41 frames!  The application may be doing too much work on its main thread.
04-07 13:21:07.399  4970  4982 I HWUI    : Davey! duration=1134ms; Flags=0, FrameTimelineVsyncId=17194, IntendedVsync=269618206669, Vsync=269751539997, InputEventId=0, HandleInputStart=269766028378, AnimationStart=269766030045, PerformTraversalsStart=269770749586, DrawStart=269770957628, FrameDeadline=270701539959, FrameStartTime=269760954836, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=269770983711, SyncStart=270339278337, IssueDrawCommandsStart=270339386212, SwapBuffers=270720347545, FrameCompleted=271320833837, DequeueBufferDuration=57995417, QueueBufferDuration=241959, GpuCompleted=271320833837, SwapBuffersCompleted=271076269879, DisplayPresentTime=0, CommandSubmissionCompleted=270720347545, 
04-07 13:21:07.427  4970  4970 I Choreographer: Skipped 50 frames!  The application may be doing too much work on its main thread.
04-07 13:21:07.670  4970  4982 I HWUI    : Davey! duration=1478ms; Flags=0, FrameTimelineVsyncId=17209, IntendedVsync=269801539995, Vsync=270334873307, InputEventId=0, HandleInputStart=270371141045, AnimationStart=270371144087, PerformTraversalsStart=270398691462, DrawStart=270398947545, FrameDeadline=271351539933, FrameStartTime=270345799462, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=270398979503, SyncStart=271076382087, IssueDrawCommandsStart=271076541337, SwapBuffers=271319924129, FrameCompleted=271957794796, DequeueBufferDuration=436815042, QueueBufferDuration=200451292, GpuCompleted=271520904921, SwapBuffersCompleted=271957794796, DisplayPresentTime=0, CommandSubmissionCompleted=271319924129, 
